"","mag","rupture_complete","JB_complete","fm_type_code","vs30","rotD50_pga","ev_latitude","ev_longitude","st_latitude","st_longitude"
"523",4.36,65.8638747721389,65.3,"SS",456,1.254526,43.6058,11.2405,43.94245,11.905042
"524",4.36,134.375481394487,134.1,"SS",645.889517,0.051042,43.6058,11.2405,42.738174,12.387275
"525",4.36,14.7634684271685,12,"SS",483.326703,10.0911685,43.6058,11.2405,43.71233,11.21878
"526",4.36,38.6684626019706,37.7,"SS",831.332324,9.581014,43.6058,11.2405,43.402763,10.867434
"527",4.36,73.0082872008377,72.5,"SS",883.359304,0.4913225,43.6058,11.2405,44.0624,10.597
"528",4.36,66.8554410650322,66.3,"SS",744.53735,0.2444875,43.6058,11.2405,43.3292,11.9663
"529",4.36,117.714570041266,117.4,"SS",116,0.164273,43.6058,11.2405,44.581039,11.805396
"530",4.36,90.1113200435994,89.7,"SS",659.198177,0.2340675,43.6058,11.2405,43.8011,12.3205
"531",4.36,31.0161248385416,29.8,"SS",616.915726,1.3690765,43.6058,11.2405,43.7956,10.9795
"532",4.36,163.526297579319,163.3,"SS",897.56078,0.036925,43.6058,11.2405,42.9621,13.0498
"533",4.36,146.452722746967,146.2,"SS",184,0.10984,43.6058,11.2405,44.9035,11.5406
"534",4.36,20.6736547325334,18.8,"SS",462.180153,5.8296315,43.6058,11.2405,43.7744,11.2551
"535",4.36,93.2972132488425,92.9,"SS",456.6982,0.286926,43.6058,11.2405,44.35955,11.74248
"536",4.36,104.952941835853,104.6,"SS",792.741375,0.088314,43.6058,11.2405,42.91263,12.11214
"537",4.36,143.458007793221,143.2,"SS",509.465827,0.0807985,43.6058,11.2405,43.44183,12.9973
"538",4.36,116.418082787856,116.1,"SS",259.711599,0.228271,43.6058,11.2405,44.6297,10.9492
"539",4.36,140.363706135169,140.1,"SS",577.080928,0.035441,43.6058,11.2405,42.801,12.5682
"540",4.36,122.901261181487,122.6,"SS",553.164478,0.054619,43.6058,11.2405,43.6292,12.7595
"541",4.36,80.361495755119,79.9,"SS",548.95864,0.4007745,43.6058,11.2405,44.3128,11.4248
"542",4.36,111.033553487223,110.7,"SS",518.414094,0.2959805,43.6058,11.2405,43.263,12.5246
"543",4.36,185.199784017153,185,"SS",677.097888,0.0635235,43.6058,11.2405,43.6077,13.5323
"544",4.36,193.491214270829,193.3,"SS",313.93673,0.0495685,43.6058,11.2405,43.3778,13.6095
"545",4.36,59.7224413432673,59.1,"SS",1001.609884,0.8148315,43.6058,11.2405,43.9048,11.847
"546",4.36,126.392919105463,126.1,"SS",672.411804,0.1245105,43.6058,11.2405,43.4363,12.7822
"547",4.36,85.9314261489939,85.5,"SS",526.413598,0.197919,43.6058,11.2405,44.35085,10.9765
"548",4.36,92.6002159824695,92.2,"SS",461.898558,0.1367925,43.6058,11.2405,44.1594,10.3864
"549",4.27,77.9078943368385,75.8,"TF",520.105951,1.5154245,41.7067,14.9557,41.199345,15.562856
"550",4.27,125.695505090675,124.4,"TF",753.987228,0.0704325,41.7067,14.9557,40.634346,15.382376
"551",4.27,50.6091888889755,47.3,"TF",306,3.444495,41.7067,14.9557,41.484451,14.472103
"552",4.27,73.0523100250772,70.8,"TF",1254.619398,3.918619,41.7067,14.9557,41.78714,14.11187
"553",4.27,95.6096752426239,93.9,"TF",388.17674,0.5890385,41.7067,14.9557,41.2595,15.9102
"554",4.27,49.1171049635461,45.7,"TF",607.070052,1.6853625,41.7067,14.9557,41.86832,14.44984
"555",4.27,30.5628859893826,24.7,"TF",698.955777,7.585151,41.7067,14.9557,41.833427,14.712029
"556",4.27,23.950782868207,15.8,"TF",483.567457,4.4343415,41.7067,14.9557,41.618225,15.104517
"557",4.27,45.6027411456811,41.9,"TF",727.291194,1.7321,41.7067,14.9557,41.6611,14.4565
"558",4.27,32.8671568590896,27.5,"TF",472,2.5445675,41.7067,14.9557,41.509072,14.756682
"559",4.27,76.1577310586391,74,"TF",328,7.022378,41.7067,14.9557,42.039169,14.18263
"560",4.27,41.4160596870344,37.3,"TF",333.770561,4.12044,41.7067,14.9557,41.852642,15.360158
"561",4.27,193.439292802677,192.6,"TF",800,0.0488775,41.7067,14.9557,42.249229,12.748319
"562",4.27,80.2448752257738,78.2,"TF",800,0.7844175,41.7067,14.9557,41.639696,15.89076
"563",4.27,49.2101615522648,45.8,"TF",319.12426,0.6123945,41.7067,14.9557,41.34443,14.69416
"564",4.27,82.4878778973008,80.5,"TF",635.225228,3.5974575,41.7067,14.9557,41.9264,15.8792
"565",4.27,32.2837420383697,26.8,"TF",640.159464,1.843798,41.7067,14.9557,41.482738,14.83767
"566",4.27,94.7259204230817,93,"TF",839,1.216146,41.7067,14.9557,41.918655,13.872396
"567",4.27,27.4315511774307,20.7,"TF",627.932386,6.0692655,41.7067,14.9557,41.807213,15.164646
"568",4.27,21.095023109729,11,"TF",556.617981,10.608098,41.7067,14.9557,41.625019,14.880167
"569",4.27,51.5450288582711,48.3,"TF",849,0.351565,41.7067,14.9557,41.27203,14.92612
"570",4.27,55.9732078766261,53,"TF",865,3.5412945,41.7067,14.9557,41.832181,15.570961
"571",4.27,50.7961612722851,47.5,"TF",870.412654,3.761575,41.7067,14.9557,41.458019,14.492777
"572",4.27,40.1598057764228,35.9,"TF",386,5.973064,41.7067,14.9557,41.68116,15.385745
"573",4.27,64.9442838131271,62.4,"TF",376,1.7953255,41.7067,14.9557,41.565647,14.231118
"574",4.27,96.4937303662782,94.8,"TF",1263.590202,0.9902075,41.7067,14.9557,42.089,13.934
"575",4.27,97.3780776150361,95.7,"TF",379.58271,3.570141,41.7067,14.9557,42.068,13.909
"576",4.27,36.1933695585255,31.4,"TF",343.791509,4.9037965,41.7067,14.9557,41.989445,14.975007
"577",4.27,39.0907917545808,34.7,"TF",928.112801,3.112042,41.7067,14.9557,41.78294,14.550706
"578",4.27,104.363978460003,102.8,"TF",800,0.754304,41.7067,14.9557,41.880758,16.170329
"579",4.27,53.6120322315803,50.5,"TF",484.723623,2.561522,41.7067,14.9557,42.12218,14.707188
"580",4.27,132.726221975916,131.5,"TF",910.104476,0.1476715,41.7067,14.9557,40.7867,15.9427
"581",4.27,39.3573373083089,35,"TF",654.456878,1.363928,41.7067,14.9557,41.5461,14.5938
"582",4.27,185.176915407942,184.3,"TF",341.116237,0.0617345,41.7067,14.9557,40.0783,15.3776
"583",4.27,193.041031907727,192.2,"TF",764.01457,0.2187165,41.7067,14.9557,43.1942,13.7614
"584",4.27,81.0246875958186,79,"TF",738.045544,0.2871395,41.7067,14.9557,41.028,15.2366
"585",4.27,81.0246875958186,79,"TF",728.156334,0.4697205,41.7067,14.9557,41.5978,14.0183
"586",4.27,165.581279135052,164.6,"TF",1011.252462,0.047916,41.7067,14.9557,42.26802,13.11718
"587",4.27,28.2708330262835,21.8,"TF",1021.062527,2.002901,41.7067,14.9557,41.513145,14.910201
"588",4.27,170.154753092589,169.2,"TF",805.249432,0.0333935,41.7067,14.9557,40.3249,15.8019
"589",4.27,22.9889103700023,14.3,"TF",311.961066,15.666929,41.7067,14.9557,41.7059,15.127
"590",4.27,61.5890412329986,58.9,"TF",1285.702547,2.2283935,41.7067,14.9557,41.64188,14.25402
"591",4.27,44.7772263544762,41,"TF",908.405715,0.2460075,41.7067,14.9557,41.37,15.158
"592",4.27,67.3499072011239,64.9,"TF",909.760821,0.3832485,41.7067,14.9557,41.1227,14.96815
"593",4.27,116.004999892246,114.6,"TF",834.060149,0.1030495,41.7067,14.9557,40.7564,15.48892
"594",4.27,81.4147406800513,79.4,"TF",683.855867,0.885792,41.7067,14.9557,41.712,15.9096
"595",4.27,87.66778199544,85.8,"TF",568.198291,0.2015935,41.7067,14.9557,41.200001,14.17989
"596",4.27,105.053557769359,103.5,"TF",470.162097,0.2074865,41.7067,14.9557,41.71743,13.71202
"597",4.27,55.1217742820385,52.1,"TF",1100.343559,0.5580005,41.7067,14.9557,41.3641,14.529
"598",4.27,69.2792176630193,66.9,"TF",911.178534,2.599495,41.7067,14.9557,41.70328,14.1524
"599",4.27,74.3129194689591,72.1,"TF",719.555238,0.226846,41.7067,14.9557,41.135,15.365
"600",4.27,186.769403275804,185.9,"TF",779.091757,0.0436565,41.7067,14.9557,40.1821,15.8675
